D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
22.0,9.1179,24.8263,,3.0,650000000.0,2.63465040269e-19,14.5,12.8,0.04
22.0,10.4079,29.1679,,3.0,700000000.0,4.1791209736400004e-13,14.4,12.9,14.9
22.0,11.7066,33.8676,,3.0,750000000.0,2.39260581101e-23,14.4,12.9,0.05
22.0,13.0016,39.011,,3.0,800000000.0,4.540736329e-13,13.1,13.0,4.91
22.0,106.9421,140.9139,,3.0,850000000.0,118.43540825000002,0.0,0.0,0.0
22.0,15.5163,51.2101,,3.0,900000000.0,1.4283935120000001e-15,10.8,13.0,0.35
22.0,16.6866,58.8267,,3.0,950000000.0,2.062396709e-09,9.8,13.1,1.07
22.0,17.7327,68.3276,,3.0,1000000000.0,9.383689466e-13,8.8,13.1,3.01
23.0,176.8536,199.9954,,3.0,200000000.0,1000000000.0,0.0,0.0,0.0
23.0,176.8536,199.9954,,3.0,250000000.0,1000000000.0,0.0,0.0,0.0
23.0,176.8536,199.9954,,3.0,300000000.0,1000000000.0,0.0,0.0,0.0
